and 2393<br>
to 1656<br>
a 1105<br>
in 1074<br>
of 1070<br>
with 951<br>
the 731<br>
or 715<br>
experience 706<br>
skills 548<br>
 521<br>
all 488<br>
majors 410<br>
for 373<br>
work 351<br>
is 344<br>
be 340<br>
an 332<br>
you 317<br>
knowledge 310<br>
ability 275<br>
engineering 272<br>
as 267<br>
nbsp 256<br>
are 247<br>
strong 234<br>
development 219<br>
computer 218<br>
working 216<br>
communication 215<br>
software 209<br>
c 199<br>
we 196<br>
open 193<br>
have 188<br>
design 185<br>
will 184<br>
on 183<br>
environment 179<br>
programming 175<br>
team 166<br>
excellent 159<br>
at 158<br>
qualifications 157<br>
your 156<br>
science 142<br>
systems 141<br>
required 121<br>
understanding 119<br>
must 119<br>
electrical 115<br>
written 114<br>
our 114<br>
web 113<br>
that 111<br>
degree 111<br>
good 106<br>
- 103<br>
co-op 101<br>
requirements 100<br>
java 99<br>
persons 96<br>
asset 94<br>
student 94<br>
following 93<br>
other 93<br>
learn 91<br>
year 89<br>
using 89<br>
linux 88<br>
test 85<br>
students 83<br>
program 80<br>
data 80<br>
python 79<br>
apply 79<br>
verbal 79<br>
amp 78<br>
such 77<br>
testing 76<br>
interest 76<br>
projects 76<br>
from 76<br>
familiarity 75<br>
who 75<br>
technologies 74<br>
javascript 73<br>
management 72<br>
technology 72<br>
interpersonal 72<br>
well 71<br>
information 71<br>
able 71<br>
this 70<br>
scripting 70<br>
building 70<br>
problem 70<br>
including 70<br>
analytical 69<br>
can 69<br>
tools 68<br>
solving 66<br>
canadian 66<br>
new 65<br>
candidates 65<br>
languages 64<br>
basic 64<br>
position 63<br>
application 63<br>
technical 63<br>
would 62<br>
quickly 61<br>
employment 61<br>
business 61<br>
related 60<br>
some 59<br>
high 59<br>
writing 59<br>
mobile 58<br>
independently 58<br>
not 57<br>
applications 57<br>
one 56<br>
more 56<br>
networking 55<br>
perl 54<br>
committed 53<br>
enrolled 52<br>
protocols 52<br>
about 52<br>
canada 51<br>
candidate 51<br>
system 51<br>
encourage 50<br>
by 49<br>
both 48<br>
but 48<br>
equity 48<br>
diverse 47<br>
